X,Y,Z,RX,RY,RZ
0.000,0.000,0.000,0.0000,0.0000,0.0000
272.188,461.370,131.889,-10.0000,26.9150,-23.9631
281.695,435.791,131.572,-10.0000,-1.4157,-46.0013
286.903,352.747,133.699,-10.0000,-7.7544,-50.5255
461.148,179.337,146.421,63.4743,17.8152,-31.8658
449.410,179.828,145.127,-10.0000,-20.7179,-29.4876
443.542,180.084,144.514,72.2371,22.0724,-28.3378
432.103,180.860,144.437,-10.0000,3.4217,-47.4231
420.088,181.256,142.512,80.0502,-4.2368,-48.0027
414.256,181.792,142.761,85.5255,-4.8164,-48.4158
402.036,176.698,143.392,-10.0000,-20.9696,-60.7239
390.369,177.298,142.228,-10.0000,-3.9059,-47.7673
384.538,177.899,142.676,-10.0000,-3.7588,-47.6627
372.826,178.599,142.027,87.9571,-21.1057,-60.8388
361.141,179.513,142.036,-10.0000,-15.7166,-56.4773
355.716,185.468,140.053,-10.0000,-6.9898,-49.9735
337.839,182.055,144.276,-10.0000,2.7785,-43.0334
332.452,188.144,142.677,64.0268,15.2692,-33.8701
320.732,188.786,141.851,-10.0000,-17.0346,-57.5124
309.146,190.498,144.312,-10.0000,-4.5555,-48.2298
297.933,197.337,143.645,-10.0000,3.8332,-42.2845
287.622,215.122,143.909,-10.0000,-6.2259,-49.4242
279.872,265.287,139.152,-10.0000,9.0894,-38.5045
272.501,377.024,138.730,-10.0000,18.0197,-31.7017
259.724,441.266,143.029,82.6047,49.2363,10.1088
251.127,427.866,153.938,62.2269,53.9689,31.4430
260.338,312.910,147.717,-10.0000,43.8496,-2.2135
269.573,237.793,147.131,-10.0000,-32.0575,-71.2850
281.098,206.404,148.431,-10.0000,-0.4716,-45.3335
291.724,192.717,146.933,-10.0000,-6.8404,-49.8659
302.632,181.276,152.346,76.0511,-54.3148,55.0754
313.971,175.971,153.075,64.4978,-54.6453,40.3178
325.802,177.848,147.403,-10.0000,-40.1537,-81.6248
332.438,186.900,148.760,-10.0000,-2.4548,-46.7371
342.874,168.668,154.284,55.3260,-54.6493,40.4218
354.531,168.461,153.847,56.4669,-54.6949,48.1438
360.449,169.670,149.558,69.9909,-53.7845,60.0743
372.149,168.883,149.942,63.9800,-54.2998,55.2521
383.865,168.207,150.666,85.2107,-48.9603,80.6793
395.407,165.070,153.266,57.3020,-54.4458,53.3710
407.369,167.379,153.331,74.7351,-51.1166,73.7357
419.145,168.107,151.301,76.4170,-52.1417,69.5384
425.180,170.483,148.573,-10.0000,-39.3191,-80.3911
435.756,228.080,149.612,-10.0000,11.4254,-53.2159
441.666,201.218,151.937,-10.0000,11.5163,-53.2835
449.431,178.754,152.757,-10.0000,-26.3698,-24.4793
467.017,179.086,147.050,72.0225,15.4331,-33.7431
478.754,178.586,148.312,79.3373,-3.9720,-47.8143
484.603,178.171,148.439,-10.0000,-9.2724,-51.6292
490.638,179.254,153.172,-10.0000,-24.4417,-63.7464
502.151,176.959,148.915,-10.0000,-8.3822,-50.9806
514.236,180.880,149.397,56.9006,22.7011,-27.7942
520.068,180.302,149.345,-10.0000,-14.3504,-34.5777
537.354,175.391,152.502,86.5943,0.2429,-44.8282
543.202,174.974,152.619,-10.0000,-6.7352,-49.7902
552.781,184.028,154.220,52.3664,-54.1869,56.4917
561.635,185.138,150.287,88.2502,11.0589,-37.0562
572.889,178.629,151.966,83.1201,-14.0603,-55.2004
584.686,178.598,154.674,-10.0000,-6.9954,-40.0225
596.374,177.706,154.735,-10.0000,0.6907,-44.5116
602.237,177.416,155.242,-10.0000,9.7722,-51.9952
614.686,184.721,156.303,81.1431,7.9537,-39.3302
619.815,176.436,156.431,-10.0000,-13.6774,-54.9087
643.623,180.259,154.900,-10.0000,-1.3457,-45.9518
655.290,179.197,154.435,83.5550,9.5440,-38.1721
666.998,178.460,154.972,-10.0000,-5.4511,-48.8692
679.034,181.922,154.604,60.3822,19.2982,-30.6645
685.071,183.596,156.076,74.3377,13.2560,-35.4110
690.915,183.143,156.084,78.6734,4.1387,-42.0671
708.940,187.900,156.017,84.1169,5.7827,-40.8936
714.306,181.479,156.569,-10.0000,4.6262,-48.2801
825.905,252.624,154.935,-10.0000,16.6517,-57.2099
838.688,337.777,153.662,-10.0000,37.9404,-11.5459
845.469,349.120,152.155,-10.0000,27.7123,-66.8040
855.463,399.062,155.975,13.6085,46.9787,85.7370
861.720,447.168,153.313,-10.0000,-1.2033,-44.1490
869.772,461.334,160.707,-10.0000,33.3502,-72.7341
862.367,411.399,157.523,-10.0000,50.4381,76.1403
853.092,351.174,160.222,-10.0000,38.2536,-78.8838
840.982,301.988,158.217,-10.0000,18.7310,-31.1271
826.234,255.250,163.011,1.9538,50.6865,75.2882
817.950,225.431,164.387,83.9100,15.3013,-33.8453
810.796,209.683,164.813,83.2922,45.1413,0.2840
797.344,189.297,162.438,86.9497,-2.8949,-47.0492
785.521,188.891,160.284,-10.0000,-16.4527,-32.9468
782.618,188.768,163.526,51.7060,-54.6872,41.5711
767.519,184.533,159.675,-10.0000,-10.9817,-52.8866
761.239,179.348,161.227,89.0328,19.2650,-30.6916
749.979,185.817,159.419,-10.0000,-8.9843,-38.5811
737.721,180.001,157.630,87.1149,12.7206,-35.8152
731.892,180.575,157.994,-10.0000,-25.6561,-25.1450
717.572,184.644,161.380,-10.0000,-29.8877,-21.0210
708.525,182.429,158.090,-10.0000,1.4935,-46.0564
702.229,177.116,159.246,-10.0000,-8.0932,-50.7709
691.155,185.063,161.987,12.7932,-42.7141,-4.2453
678.345,172.685,158.910,81.3088,-46.1831,87.5297
672.369,171.622,158.227,84.5933,-45.1261,89.7468
660.735,173.408,156.927,-10.0000,-28.0618,-67.1452
649.509,178.911,162.964,13.9073,48.2264,7.3344
637.393,175.461,157.638,-10.0000,-1.4116,-45.9984
625.817,177.255,160.352,76.7671,0.8198,-44.4203
619.400,172.127,160.840,-10.0000,-32.8045,-72.1150
608.253,171.756,160.187,-10.0000,-35.2319,-74.9602
601.884,172.439,158.835,-10.0000,-33.1512,-72.5071
590.790,180.229,161.093,31.0112,41.4654,-6.3299
578.057,168.464,159.902,88.5083,-45.7323,88.4966
573.048,177.845,166.561,36.0934,-54.3557,35.4235
555.347,177.727,163.890,33.4330,-54.7208,43.1032
547.412,165.383,159.289,67.7137,-51.9562,70.3608
543.688,178.713,162.590,46.4630,-54.3279,35.0824
524.887,165.750,157.843,80.7604,-50.7572,75.0399
519.977,176.812,162.816,24.2927,-54.4888,37.2718
514.108,176.907,163.049,46.1949,-54.7230,43.2497
502.192,176.662,164.712,49.0735,-54.6716,41.0587
484.644,176.992,164.054,11.9851,-49.2119,10.0384
483.591,163.624,160.390,54.9506,-54.2432,55.8916
467.093,177.539,161.187,-10.0000,-43.2640,-86.7212
461.265,178.113,161.553,50.1801,-54.4991,37.4337
451.900,203.895,162.867,-10.0000,24.1597,-63.4930
440.695,247.723,161.519,-10.0000,28.3983,-67.4765
434.221,280.154,157.405,-10.0000,33.8967,-73.3657
420.493,316.336,158.536,-10.0000,18.3450,-58.5603
407.242,162.572,159.583,48.3791,-54.7321,45.9298
395.320,163.296,157.258,50.8278,-54.7272,46.4344
389.386,162.028,160.669,29.4540,-52.0292,19.9590
377.187,163.088,160.826,37.4599,-53.3895,27.1301
367.176,163.622,160.721,46.5278,-54.4789,37.1194
355.477,163.450,161.939,46.0250,-54.2905,34.6408
348.451,164.661,161.498,39.1845,-53.2870,26.4790
336.784,165.777,161.616,45.1211,-53.9607,31.3721
330.911,167.404,160.604,54.0058,-54.4335,36.4545
322.210,169.631,161.141,54.7522,-53.9832,31.5687
313.730,171.355,162.429,65.7733,-54.7350,44.5986
302.759,176.857,159.607,62.2177,-54.4679,36.9530
290.863,179.367,162.568,69.1705,-54.7325,44.1249
279.419,182.902,164.575,85.1989,-54.2275,56.0621
268.443,204.222,157.842,-10.0000,49.0500,9.5744
262.594,555.180,161.361,21.5822,36.1003,-76.0401
247.519,441.936,161.659,50.6694,54.7337,44.3181
241.692,421.509,174.874,43.4294,54.5239,52.1596
